Date,price,zone
1/1/2016 12:00:00 AM,31.53128,PGAE
1/1/2016 12:00:00 AM,32.12050,SCE
1/1/2016 12:00:00 AM,32.07273,SDGE
1/1/2016 12:00:00 AM,31.54402,VEA
1/1/2016 1:00:00 AM,30.27335,PGAE
1/1/2016 1:00:00 AM,30.66960,SCE
1/1/2016 1:00:00 AM,30.57206,SDGE
1/1/2016 1:00:00 AM,30.14838,VEA
1/1/2016 2:00:00 AM,30.21553,PGAE
1/1/2016 2:00:00 AM,30.48566,SCE
1/1/2016 2:00:00 AM,30.38550,SDGE
1/1/2016 2:00:00 AM,30.04252,VEA
1/1/2016 3:00:00 AM,28.39699,PGAE
1/1/2016 3:00:00 AM,28.72836,SCE
1/1/2016 3:00:00 AM,28.57696,SDGE
1/1/2016 3:00:00 AM,28.33415,VEA
1/1/2016 4:00:00 AM,28.62750,PGAE
1/1/2016 4:00:00 AM,29.10395,SCE
1/1/2016 4:00:00 AM,28.94802,SDGE
1/1/2016 4:00:00 AM,28.71990,VEA
1/1/2016 5:00:00 AM,29.77012,PGAE
1/1/2016 5:00:00 AM,30.36901,SCE
1/1/2016 5:00:00 AM,30.29076,SDGE
1/1/2016 5:00:00 AM,30.00185,VEA
1/1/2016 6:00:00 AM,31.17709,PGAE
1/1/2016 6:00:00 AM,31.53458,SCE
1/1/2016 6:00:00 AM,31.51890,SDGE
1/1/2016 6:00:00 AM,31.20845,VEA
1/1/2016 7:00:00 AM,30.54824,PGAE
1/1/2016 7:00:00 AM,30.44463,SCE
1/1/2016 7:00:00 AM,30.37760,SDGE
1/1/2016 7:00:00 AM,30.08811,VEA
1/1/2016 8:00:00 AM,28.02933,PGAE
1/1/2016 8:00:00 AM,27.48913,SCE
1/1/2016 8:00:00 AM,27.28690,SDGE
1/1/2016 8:00:00 AM,27.06528,VEA
1/1/2016 9:00:00 AM,25.93477,PGAE
1/1/2016 9:00:00 AM,25.02251,SCE
1/1/2016 9:00:00 AM,24.84717,SDGE
1/1/2016 9:00:00 AM,24.58035,VEA
1/1/2016 10:00:00 AM,23.91708,PGAE
1/1/2016 10:00:00 AM,23.04341,SCE
1/1/2016 10:00:00 AM,23.01530,SDGE
1/1/2016 10:00:00 AM,22.64288,VEA
1/1/2016 11:00:00 AM,21.66984,PGAE
1/1/2016 11:00:00 AM,20.72501,SCE
1/1/2016 11:00:00 AM,20.62355,SDGE
1/1/2016 11:00:00 AM,20.34031,VEA
1/1/2016 12:00:00 PM,20.37701,PGAE
1/1/2016 12:00:00 PM,19.49477,SCE
1/1/2016 12:00:00 PM,19.33780,SDGE
1/1/2016 12:00:00 PM,19.13313,VEA
1/1/2016 1:00:00 PM,20.45664,PGAE
1/1/2016 1:00:00 PM,19.46764,SCE
1/1/2016 1:00:00 PM,19.33630,SDGE
1/1/2016 1:00:00 PM,19.11940,VEA
1/1/2016 2:00:00 PM,21.12190,PGAE
1/1/2016 2:00:00 PM,20.29545,SCE
1/1/2016 2:00:00 PM,20.25000,SDGE
1/1/2016 2:00:00 PM,19.97314,VEA
1/1/2016 3:00:00 PM,24.40677,PGAE
1/1/2016 3:00:00 PM,23.81201,SCE
1/1/2016 3:00:00 PM,23.80960,SDGE
1/1/2016 3:00:00 PM,23.44119,VEA
1/1/2016 4:00:00 PM,32.93000,PGAE
1/1/2016 4:00:00 PM,32.93000,SCE
1/1/2016 4:00:00 PM,33.23976,SDGE
1/1/2016 4:00:00 PM,32.33025,VEA
1/1/2016 5:00:00 PM,44.55120,PGAE
1/1/2016 5:00:00 PM,45.29838,SCE
1/1/2016 5:00:00 PM,45.91052,SDGE
1/1/2016 5:00:00 PM,44.36666,VEA
1/1/2016 6:00:00 PM,45.43714,PGAE
1/1/2016 6:00:00 PM,47.70339,SCE
1/1/2016 6:00:00 PM,48.49390,SDGE
1/1/2016 6:00:00 PM,45.61632,VEA
1/1/2016 7:00:00 PM,44.26684,PGAE
1/1/2016 7:00:00 PM,45.00000,SCE
1/1/2016 7:00:00 PM,45.52752,SDGE
1/1/2016 7:00:00 PM,44.08355,VEA
1/1/2016 8:00:00 PM,41.08822,PGAE
1/1/2016 8:00:00 PM,41.55156,SCE
1/1/2016 8:00:00 PM,41.97353,SDGE
1/1/2016 8:00:00 PM,40.72003,VEA
1/1/2016 9:00:00 PM,37.05595,PGAE
1/1/2016 9:00:00 PM,38.30484,SCE
1/1/2016 9:00:00 PM,38.68112,SDGE
1/1/2016 9:00:00 PM,36.95422,VEA
1/1/2016 10:00:00 PM,34.10208,PGAE
1/1/2016 10:00:00 PM,35.69267,SCE
1/1/2016 10:00:00 PM,35.89167,SDGE
1/1/2016 10:00:00 PM,34.10487,VEA
1/1/2016 11:00:00 PM,30.32045,PGAE
1/1/2016 11:00:00 PM,30.72651,SCE
1/1/2016 11:00:00 PM,30.75093,SDGE
1/1/2016 11:00:00 PM,30.20137,VEA
1/2/2016 12:00:00 AM,30.39342,PGAE
1/2/2016 12:00:00 AM,30.68649,SCE
1/2/2016 12:00:00 AM,30.57353,SDGE
1/2/2016 12:00:00 AM,30.20415,VEA
1/2/2016 1:00:00 AM,29.44288,PGAE
1/2/2016 1:00:00 AM,29.64661,SCE
1/2/2016 1:00:00 AM,29.48422,SDGE
1/2/2016 1:00:00 AM,29.21554,VEA
1/2/2016 2:00:00 AM,28.43559,PGAE
1/2/2016 2:00:00 AM,28.58096,SCE
1/2/2016 2:00:00 AM,28.68073,SDGE
1/2/2016 2:00:00 AM,28.20756,VEA
1/2/2016 3:00:00 AM,28.51376,PGAE
1/2/2016 3:00:00 AM,28.60512,SCE
1/2/2016 3:00:00 AM,28.69077,SDGE
1/2/2016 3:00:00 AM,28.23967,VEA
1/2/2016 4:00:00 AM,29.66585,PGAE
1/2/2016 4:00:00 AM,29.92809,SCE
1/2/2016 4:00:00 AM,30.02643,SDGE
1/2/2016 4:00:00 AM,29.58241,VEA
1/2/2016 5:00:00 AM,29.98423,PGAE
1/2/2016 5:00:00 AM,30.27046,SCE
1/2/2016 5:00:00 AM,30.43014,SDGE
1/2/2016 5:00:00 AM,29.94808,VEA
1/2/2016 6:00:00 AM,30.27075,PGAE
1/2/2016 6:00:00 AM,30.30708,SCE
1/2/2016 6:00:00 AM,30.50996,SDGE
1/2/2016 6:00:00 AM,29.98309,VEA
1/2/2016 7:00:00 AM,30.24000,PGAE
1/2/2016 7:00:00 AM,30.02323,SCE
1/2/2016 7:00:00 AM,30.16473,SDGE
1/2/2016 7:00:00 AM,29.65892,VEA
1/2/2016 8:00:00 AM,27.97843,PGAE
1/2/2016 8:00:00 AM,27.42533,SCE
1/2/2016 8:00:00 AM,27.47511,SDGE
1/2/2016 8:00:00 AM,27.00221,VEA
1/2/2016 9:00:00 AM,25.34131,PGAE
1/2/2016 9:00:00 AM,24.56698,SCE
1/2/2016 9:00:00 AM,24.60432,SDGE
1/2/2016 9:00:00 AM,24.12877,VEA
1/2/2016 10:00:00 AM,25.00829,PGAE
1/2/2016 10:00:00 AM,24.24421,SCE
1/2/2016 10:00:00 AM,24.29826,SDGE
1/2/2016 10:00:00 AM,23.76267,VEA
1/2/2016 11:00:00 AM,24.97782,PGAE
1/2/2016 11:00:00 AM,24.19052,SCE
1/2/2016 11:00:00 AM,24.21995,SDGE
1/2/2016 11:00:00 AM,23.66811,VEA
1/2/2016 12:00:00 PM,21.79989,PGAE
1/2/2016 12:00:00 PM,21.18677,SCE
1/2/2016 12:00:00 PM,21.12460,SDGE
1/2/2016 12:00:00 PM,20.71515,VEA
1/2/2016 1:00:00 PM,20.12252,PGAE
1/2/2016 1:00:00 PM,19.43402,SCE
1/2/2016 1:00:00 PM,19.39259,SDGE
1/2/2016 1:00:00 PM,19.02762,VEA
1/2/2016 2:00:00 PM,23.36896,PGAE
1/2/2016 2:00:00 PM,22.72704,SCE
1/2/2016 2:00:00 PM,22.74545,SDGE
1/2/2016 2:00:00 PM,22.26229,VEA
1/2/2016 3:00:00 PM,24.45530,PGAE
1/2/2016 3:00:00 PM,23.85218,SCE
1/2/2016 3:00:00 PM,23.86183,SDGE
1/2/2016 3:00:00 PM,23.43482,VEA
1/2/2016 4:00:00 PM,33.10076,PGAE
1/2/2016 4:00:00 PM,32.75178,SCE
1/2/2016 4:00:00 PM,32.92627,SDGE
1/2/2016 4:00:00 PM,32.09661,VEA
1/2/2016 5:00:00 PM,43.73123,PGAE
1/2/2016 5:00:00 PM,43.61321,SCE
1/2/2016 5:00:00 PM,44.08964,SDGE
1/2/2016 5:00:00 PM,42.68220,VEA
1/2/2016 6:00:00 PM,44.41625,PGAE
1/2/2016 6:00:00 PM,44.60778,SCE
1/2/2016 6:00:00 PM,44.98236,SDGE
1/2/2016 6:00:00 PM,43.51923,VEA
1/2/2016 7:00:00 PM,40.03208,PGAE
1/2/2016 7:00:00 PM,39.94007,SCE
1/2/2016 7:00:00 PM,40.26410,SDGE
1/2/2016 7:00:00 PM,39.07198,VEA
1/2/2016 8:00:00 PM,39.28538,PGAE
1/2/2016 8:00:00 PM,39.28538,SCE
1/2/2016 8:00:00 PM,39.60768,SDGE
1/2/2016 8:00:00 PM,38.42853,VEA
1/2/2016 9:00:00 PM,35.72815,PGAE
1/2/2016 9:00:00 PM,35.92893,SCE
1/2/2016 9:00:00 PM,36.16914,SDGE
1/2/2016 9:00:00 PM,35.16883,VEA
1/2/2016 10:00:00 PM,33.63187,PGAE
1/2/2016 10:00:00 PM,33.84446,SCE
1/2/2016 10:00:00 PM,33.95918,SDGE
1/2/2016 10:00:00 PM,33.21683,VEA
1/2/2016 11:00:00 PM,30.66598,PGAE
1/2/2016 11:00:00 PM,30.83199,SCE
1/2/2016 11:00:00 PM,30.93344,SDGE
1/2/2016 11:00:00 PM,30.37085,VEA
1/3/2016 12:00:00 AM,27.38356,PGAE
1/3/2016 12:00:00 AM,27.46575,SCE
1/3/2016 12:00:00 AM,27.40000,SDGE
1/3/2016 12:00:00 AM,27.09589,VEA
1/3/2016 1:00:00 AM,25.75847,PGAE
1/3/2016 1:00:00 AM,25.83579,SCE
1/3/2016 1:00:00 AM,25.75847,SDGE
1/3/2016 1:00:00 AM,25.50588,VEA
1/3/2016 2:00:00 AM,26.71718,PGAE
1/3/2016 2:00:00 AM,26.67715,SCE
1/3/2016 2:00:00 AM,26.79989,SDGE
1/3/2016 2:00:00 AM,26.37030,VEA
1/3/2016 3:00:00 AM,27.09203,PGAE
1/3/2016 3:00:00 AM,27.07579,SCE
1/3/2016 3:00:00 AM,27.18406,SDGE
1/3/2016 3:00:00 AM,26.76180,VEA
1/3/2016 4:00:00 AM,27.86472,PGAE
1/3/2016 4:00:00 AM,27.83689,SCE
1/3/2016 4:00:00 AM,27.92595,SDGE
1/3/2016 4:00:00 AM,27.54188,VEA
1/3/2016 5:00:00 AM,28.96000,PGAE
1/3/2016 5:00:00 AM,29.02376,SCE
1/3/2016 5:00:00 AM,29.18317,SDGE
1/3/2016 5:00:00 AM,28.70785,VEA
1/3/2016 6:00:00 AM,30.17128,PGAE
1/3/2016 6:00:00 AM,30.17128,SCE
1/3/2016 6:00:00 AM,30.33112,SDGE
1/3/2016 6:00:00 AM,29.86969,VEA
1/3/2016 7:00:00 AM,29.62212,PGAE
1/3/2016 7:00:00 AM,29.31300,SCE
1/3/2016 7:00:00 AM,29.40426,SDGE
1/3/2016 7:00:00 AM,29.04510,VEA
1/3/2016 8:00:00 AM,26.89857,PGAE
1/3/2016 8:00:00 AM,26.21994,SCE
1/3/2016 8:00:00 AM,26.20669,SDGE
1/3/2016 8:00:00 AM,25.87798,VEA
1/3/2016 9:00:00 AM,25.95851,PGAE
1/3/2016 9:00:00 AM,25.00000,SCE
1/3/2016 9:00:00 AM,25.04322,SDGE
1/3/2016 9:00:00 AM,24.64914,VEA
1/3/2016 10:00:00 AM,24.74864,PGAE
1/3/2016 10:00:00 AM,23.78717,SCE
1/3/2016 10:00:00 AM,23.85498,SDGE
1/3/2016 10:00:00 AM,23.40937,VEA
1/3/2016 11:00:00 AM,24.83224,PGAE
1/3/2016 11:00:00 AM,23.79109,SCE
1/3/2016 11:00:00 AM,23.86389,SDGE
1/3/2016 11:00:00 AM,23.40035,VEA
1/3/2016 12:00:00 PM,21.15341,PGAE
1/3/2016 12:00:00 PM,20.01231,SCE
1/3/2016 12:00:00 PM,19.92817,SDGE
1/3/2016 12:00:00 PM,19.70652,VEA
1/3/2016 1:00:00 PM,20.92000,PGAE
1/3/2016 1:00:00 PM,19.79319,SCE
1/3/2016 1:00:00 PM,19.71401,SDGE
1/3/2016 1:00:00 PM,19.48053,VEA
1/3/2016 2:00:00 PM,24.09369,PGAE
1/3/2016 2:00:00 PM,23.11609,SCE
1/3/2016 2:00:00 PM,23.10903,SDGE
1/3/2016 2:00:00 PM,22.74861,VEA
1/3/2016 3:00:00 PM,25.78624,PGAE
1/3/2016 3:00:00 PM,25.00000,SCE
1/3/2016 3:00:00 PM,25.00254,SDGE
1/3/2016 3:00:00 PM,24.69565,VEA
1/3/2016 4:00:00 PM,32.95304,PGAE
1/3/2016 4:00:00 PM,32.47868,SCE
1/3/2016 4:00:00 PM,32.66843,SDGE
1/3/2016 4:00:00 PM,31.94217,VEA
1/3/2016 5:00:00 PM,43.53815,PGAE
1/3/2016 5:00:00 PM,43.35986,SCE
1/3/2016 5:00:00 PM,43.88169,SDGE
1/3/2016 5:00:00 PM,42.47275,VEA
1/3/2016 6:00:00 PM,44.50088,PGAE
1/3/2016 6:00:00 PM,44.46972,SCE
1/3/2016 6:00:00 PM,44.89710,SDGE
1/3/2016 6:00:00 PM,43.57489,VEA
1/3/2016 7:00:00 PM,41.59676,PGAE
1/3/2016 7:00:00 PM,41.80541,SCE
1/3/2016 7:00:00 PM,42.11839,SDGE
1/3/2016 7:00:00 PM,40.84979,VEA
1/3/2016 8:00:00 PM,40.31735,PGAE
1/3/2016 8:00:00 PM,40.38195,SCE
1/3/2016 8:00:00 PM,40.73724,SDGE
1/3/2016 8:00:00 PM,39.52198,VEA
1/3/2016 9:00:00 PM,36.61422,PGAE
1/3/2016 9:00:00 PM,37.10128,SCE
1/3/2016 9:00:00 PM,37.31898,SDGE
1/3/2016 9:00:00 PM,36.33380,VEA
1/3/2016 10:00:00 PM,32.96995,PGAE
1/3/2016 10:00:00 PM,33.31818,SCE
1/3/2016 10:00:00 PM,33.47406,SDGE
1/3/2016 10:00:00 PM,32.72452,VEA
1/3/2016 11:00:00 PM,29.39277,PGAE
1/3/2016 11:00:00 PM,29.38689,SCE
1/3/2016 11:00:00 PM,29.37809,SDGE
1/3/2016 11:00:00 PM,28.94351,VEA
1/4/2016 12:00:00 AM,25.22268,PGAE
1/4/2016 12:00:00 AM,25.14972,SCE
1/4/2016 12:00:00 AM,25.09185,SDGE
1/4/2016 12:00:00 AM,24.80252,VEA
1/4/2016 1:00:00 AM,24.49719,PGAE
1/4/2016 1:00:00 AM,24.51679,SCE
1/4/2016 1:00:00 AM,24.53148,SDGE
1/4/2016 1:00:00 AM,23.78202,VEA
1/4/2016 2:00:00 AM,23.90022,PGAE
1/4/2016 2:00:00 AM,23.89783,SCE
1/4/2016 2:00:00 AM,23.91455,SDGE
1/4/2016 2:00:00 AM,23.59684,VEA
1/4/2016 3:00:00 AM,23.96576,PGAE
1/4/2016 3:00:00 AM,24.01132,SCE
1/4/2016 3:00:00 AM,23.98734,SDGE
1/4/2016 3:00:00 AM,23.69002,VEA
1/4/2016 4:00:00 AM,25.42941,PGAE
1/4/2016 4:00:00 AM,25.47264,SCE
1/4/2016 4:00:00 AM,25.41923,SDGE
1/4/2016 4:00:00 AM,25.11151,VEA
1/4/2016 5:00:00 AM,29.22722,PGAE
1/4/2016 5:00:00 AM,29.50317,SCE
1/4/2016 5:00:00 AM,29.44446,SDGE
1/4/2016 5:00:00 AM,29.06576,VEA
1/4/2016 6:00:00 AM,35.23712,PGAE
1/4/2016 6:00:00 AM,35.65923,SCE
1/4/2016 6:00:00 AM,35.86497,SDGE
1/4/2016 6:00:00 AM,35.02075,VEA
1/4/2016 7:00:00 AM,38.62413,PGAE
1/4/2016 7:00:00 AM,38.55469,SCE
1/4/2016 7:00:00 AM,38.67814,SDGE
1/4/2016 7:00:00 AM,37.91815,VEA
1/4/2016 8:00:00 AM,33.57806,PGAE
1/4/2016 8:00:00 AM,33.44076,SCE
1/4/2016 8:00:00 AM,33.48764,SDGE
1/4/2016 8:00:00 AM,32.74086,VEA
1/4/2016 9:00:00 AM,31.91327,PGAE
1/4/2016 9:00:00 AM,32.54932,SCE
1/4/2016 9:00:00 AM,32.03724,SDGE
1/4/2016 9:00:00 AM,30.54646,VEA
1/4/2016 10:00:00 AM,30.06356,PGAE
1/4/2016 10:00:00 AM,31.26641,SCE
1/4/2016 10:00:00 AM,30.15485,SDGE
1/4/2016 10:00:00 AM,27.93425,VEA
1/4/2016 11:00:00 AM,30.07127,PGAE
1/4/2016 11:00:00 AM,31.17677,SCE
1/4/2016 11:00:00 AM,29.95903,SDGE
1/4/2016 11:00:00 AM,27.70058,VEA
1/4/2016 12:00:00 PM,28.61376,PGAE
1/4/2016 12:00:00 PM,30.35938,SCE
1/4/2016 12:00:00 PM,29.02139,SDGE
1/4/2016 12:00:00 PM,26.45943,VEA
1/4/2016 1:00:00 PM,27.47232,PGAE
1/4/2016 1:00:00 PM,29.19098,SCE
1/4/2016 1:00:00 PM,28.00499,SDGE
1/4/2016 1:00:00 PM,25.55869,VEA
1/4/2016 2:00:00 PM,29.31011,PGAE
1/4/2016 2:00:00 PM,30.76895,SCE
1/4/2016 2:00:00 PM,29.59204,SDGE
1/4/2016 2:00:00 PM,27.24896,VEA
1/4/2016 3:00:00 PM,29.90082,PGAE
1/4/2016 3:00:00 PM,30.55526,SCE
1/4/2016 3:00:00 PM,30.10806,SDGE
1/4/2016 3:00:00 PM,28.53435,VEA
1/4/2016 4:00:00 PM,34.91712,PGAE
1/4/2016 4:00:00 PM,35.00463,SCE
1/4/2016 4:00:00 PM,35.44919,SDGE
1/4/2016 4:00:00 PM,34.18903,VEA
1/4/2016 5:00:00 PM,48.84561,PGAE
1/4/2016 5:00:00 PM,48.90437,SCE
1/4/2016 5:00:00 PM,49.73674,SDGE
1/4/2016 5:00:00 PM,47.74394,VEA
1/4/2016 6:00:00 PM,43.42164,PGAE
1/4/2016 6:00:00 PM,43.86753,SCE
1/4/2016 6:00:00 PM,44.41396,SDGE
1/4/2016 6:00:00 PM,42.77029,VEA
1/4/2016 7:00:00 PM,40.70503,PGAE
1/4/2016 7:00:00 PM,41.02000,SCE
1/4/2016 7:00:00 PM,41.47814,SDGE
1/4/2016 7:00:00 PM,40.03009,VEA
1/4/2016 8:00:00 PM,39.25089,PGAE
1/4/2016 8:00:00 PM,39.56259,SCE
1/4/2016 8:00:00 PM,40.09130,SDGE
1/4/2016 8:00:00 PM,38.64721,VEA
1/4/2016 9:00:00 PM,35.34297,PGAE
1/4/2016 9:00:00 PM,36.13609,SCE
1/4/2016 9:00:00 PM,36.31788,SDGE
1/4/2016 9:00:00 PM,34.92779,VEA
1/4/2016 10:00:00 PM,31.58964,PGAE
1/4/2016 10:00:00 PM,32.10594,SCE
1/4/2016 10:00:00 PM,32.19517,SDGE
1/4/2016 10:00:00 PM,31.39842,VEA
1/4/2016 11:00:00 PM,28.35429,PGAE
1/4/2016 11:00:00 PM,28.73143,SCE
1/4/2016 11:00:00 PM,29.00286,SDGE
1/4/2016 11:00:00 PM,28.29143,VEA
1/5/2016 12:00:00 AM,24.39180,PGAE
1/5/2016 12:00:00 AM,24.55831,SCE
1/5/2016 12:00:00 AM,24.69789,SDGE
1/5/2016 12:00:00 AM,24.16406,VEA
1/5/2016 1:00:00 AM,23.74070,PGAE
1/5/2016 1:00:00 AM,23.87647,SCE
1/5/2016 1:00:00 AM,24.00509,SDGE
1/5/2016 1:00:00 AM,23.52632,VEA
1/5/2016 2:00:00 AM,22.90372,PGAE
1/5/2016 2:00:00 AM,22.98636,SCE
1/5/2016 2:00:00 AM,23.11949,SDGE
1/5/2016 2:00:00 AM,22.69484,VEA
1/5/2016 3:00:00 AM,22.02051,PGAE
1/5/2016 3:00:00 AM,22.14200,SCE
1/5/2016 3:00:00 AM,22.23919,SDGE
1/5/2016 3:00:00 AM,21.85263,VEA
1/5/2016 4:00:00 AM,23.61202,PGAE
1/5/2016 4:00:00 AM,23.75178,SCE
1/5/2016 4:00:00 AM,23.83232,SDGE
1/5/2016 4:00:00 AM,23.43199,VEA
1/5/2016 5:00:00 AM,28.23826,PGAE
1/5/2016 5:00:00 AM,28.51368,SCE
1/5/2016 5:00:00 AM,28.64997,SDGE
1/5/2016 5:00:00 AM,28.06505,VEA
1/5/2016 6:00:00 AM,33.23337,PGAE
1/5/2016 6:00:00 AM,33.18684,SCE
1/5/2016 6:00:00 AM,33.61227,SDGE
1/5/2016 6:00:00 AM,32.57861,VEA
1/5/2016 7:00:00 AM,36.67399,PGAE
1/5/2016 7:00:00 AM,35.99827,SCE
1/5/2016 7:00:00 AM,35.47314,SDGE
1/5/2016 7:00:00 AM,35.32256,VEA
1/5/2016 8:00:00 AM,33.64873,PGAE
1/5/2016 8:00:00 AM,33.78187,SCE
1/5/2016 8:00:00 AM,30.86009,SDGE
1/5/2016 8:00:00 AM,31.83376,VEA
1/5/2016 9:00:00 AM,31.99416,PGAE
1/5/2016 9:00:00 AM,32.56247,SCE
1/5/2016 9:00:00 AM,29.23986,SDGE
1/5/2016 9:00:00 AM,29.99514,VEA
1/5/2016 10:00:00 AM,30.36982,PGAE
1/5/2016 10:00:00 AM,31.59424,SCE
1/5/2016 10:00:00 AM,30.20525,SDGE
1/5/2016 10:00:00 AM,27.57219,VEA
1/5/2016 11:00:00 AM,30.32745,PGAE
1/5/2016 11:00:00 AM,31.98190,SCE
1/5/2016 11:00:00 AM,30.81085,SDGE
1/5/2016 11:00:00 AM,27.07478,VEA
1/5/2016 12:00:00 PM,28.95549,PGAE
1/5/2016 12:00:00 PM,31.03456,SCE
1/5/2016 12:00:00 PM,26.14095,SDGE
1/5/2016 12:00:00 PM,26.24433,VEA
1/5/2016 1:00:00 PM,27.87402,PGAE
1/5/2016 1:00:00 PM,30.12328,SCE
1/5/2016 1:00:00 PM,26.66927,SDGE
1/5/2016 1:00:00 PM,25.18607,VEA
1/5/2016 2:00:00 PM,29.77618,PGAE
1/5/2016 2:00:00 PM,31.49731,SCE
1/5/2016 2:00:00 PM,28.06336,SDGE
1/5/2016 2:00:00 PM,27.26262,VEA
1/5/2016 3:00:00 PM,29.86252,PGAE
1/5/2016 3:00:00 PM,30.60024,SCE
1/5/2016 3:00:00 PM,28.91965,SDGE
1/5/2016 3:00:00 PM,27.88546,VEA
1/5/2016 4:00:00 PM,34.36984,PGAE
1/5/2016 4:00:00 PM,34.23339,SCE
1/5/2016 4:00:00 PM,34.48657,SDGE
1/5/2016 4:00:00 PM,32.93668,VEA
1/5/2016 5:00:00 PM,45.95009,PGAE
1/5/2016 5:00:00 PM,45.12522,SCE
1/5/2016 5:00:00 PM,46.04002,SDGE
1/5/2016 5:00:00 PM,43.99652,VEA
1/5/2016 6:00:00 PM,42.05028,PGAE
1/5/2016 6:00:00 PM,41.73159,SCE
1/5/2016 6:00:00 PM,42.40671,SDGE
1/5/2016 6:00:00 PM,40.64133,VEA
1/5/2016 7:00:00 PM,37.97561,PGAE
1/5/2016 7:00:00 PM,37.78037,SCE
1/5/2016 7:00:00 PM,38.18942,SDGE
1/5/2016 7:00:00 PM,36.76911,VEA
1/5/2016 8:00:00 PM,36.54521,PGAE
1/5/2016 8:00:00 PM,36.29019,SCE
1/5/2016 8:00:00 PM,36.66180,SDGE
1/5/2016 8:00:00 PM,35.39760,VEA
1/5/2016 9:00:00 PM,33.29548,PGAE
1/5/2016 9:00:00 PM,32.89190,SCE
1/5/2016 9:00:00 PM,33.11684,SDGE
1/5/2016 9:00:00 PM,32.14097,VEA
1/5/2016 10:00:00 PM,30.16026,PGAE
1/5/2016 10:00:00 PM,29.78000,SCE
1/5/2016 10:00:00 PM,29.82491,SDGE
1/5/2016 10:00:00 PM,29.24704,VEA
1/5/2016 11:00:00 PM,27.26679,PGAE
1/5/2016 11:00:00 PM,27.19867,SCE
1/5/2016 11:00:00 PM,27.46023,SDGE
1/5/2016 11:00:00 PM,26.80362,VEA
1/6/2016 12:00:00 AM,24.59044,PGAE
1/6/2016 12:00:00 AM,24.42620,SCE
1/6/2016 12:00:00 AM,24.64436,SDGE
1/6/2016 12:00:00 AM,24.10265,VEA
1/6/2016 1:00:00 AM,23.64333,PGAE
1/6/2016 1:00:00 AM,23.49012,SCE
1/6/2016 1:00:00 AM,23.69283,SDGE
1/6/2016 1:00:00 AM,23.19314,VEA
1/6/2016 2:00:00 AM,22.44148,PGAE
1/6/2016 2:00:00 AM,22.33844,SCE
1/6/2016 2:00:00 AM,22.56243,SDGE
1/6/2016 2:00:00 AM,22.08085,VEA
1/6/2016 3:00:00 AM,22.47829,PGAE
1/6/2016 3:00:00 AM,22.46030,SCE
1/6/2016 3:00:00 AM,22.66488,SDGE
1/6/2016 3:00:00 AM,22.19728,VEA
1/6/2016 4:00:00 AM,24.06322,PGAE
1/6/2016 4:00:00 AM,24.14037,SCE
1/6/2016 4:00:00 AM,24.29228,SDGE
1/6/2016 4:00:00 AM,23.83175,VEA
1/6/2016 5:00:00 AM,28.84046,PGAE
1/6/2016 5:00:00 AM,29.14517,SCE
1/6/2016 5:00:00 AM,29.37153,SDGE
1/6/2016 5:00:00 AM,28.69826,VEA
1/6/2016 6:00:00 AM,34.59182,PGAE
1/6/2016 6:00:00 AM,34.70282,SCE
1/6/2016 6:00:00 AM,35.16413,SDGE
1/6/2016 6:00:00 AM,34.00217,VEA
