,čas (v hodinách),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,0-24,(0-24)
0,1.auto,0.0,0.13268292668437878,0.1990243900267968,0.19902439001980063,0.19902438988320295,0.1990243893075122,0.09121951273665378,9.533238274903204e-10,4.4493948293738854e-10,2.757093988522833e-10,1.88275104487324e-10,8.322008034532683e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0200000006038132,47.17707331637851
1,2.auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1330740740732823,1.5455948155924526,0.6078054393825724,0.5719135068181811,0.6311523731682882,0.7199151771359878,0.729664436521699,0.721943813150101,0.7537898363779206,0.7711465266778589,7.185999998898344,1643.1091362038806
2,3.auto,3.327997580892261,3.195314654074007,3.1289731902640954,2.042714574767132,1.1710455387643148e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.695000001168541,246.7971257409781
3,4.auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30499084576348034,0.6142473447609814,0.5881675798433459,0.6402402244774834,0.7175791800132595,0.7253412432154543,0.7203140532736475,0.5351195275197287,0.0,4.845999998867381,1118.8229306307476
4,5.auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12132418999500082,1.0107491065193657,0.9747815268826348,0.5731451754825747,0.0,0.0,0.0,0.0,0.0,2.679999998879576,552.3210683144068
5,6.auto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09519569091754,1.1931349680180032,1.4834598084028094,1.890503224291111,1.8729919015947967,1.885739714736444,2.0390882168671913,2.5498864740445146,14.00999999887241,3451.5174051499516
6,Súčet nabitej energie v čase,3.3279975808922613,3.327997580758386,3.327997580290892,2.241738964786933,0.1990243910542485,0.19902438930751223,0.09121951273665377,9.533238274903204e-10,4.4493948293738854e-10,2.7570939885228327e-10,1.8827510448732404e-10,8.322008034532683e-11,0.0,0.0,0.1330740740732823,1.9719098513509334,3.327997581580459,3.327997581562165,3.327997581531156,3.327997581440359,3.32799758133195,3.3279975811601923,3.3279975807648405,3.321033000722373,41.436999997290066,7059.7447393563425
7,Náklady spotrebiteľov energie v čase,18.303986694802447,58.23995766309187,98.17592861767886,88.79530146831222,10.647804917546372,13.036097498433751,6.775122002227829,8.437866182910336e-08,4.49166170033581e-08,3.1180420536841376e-08,2.356225427096703e-08,1.1225341524938626e-08,0.0,0.0,23.820259259117535,367.5057498620947,657.2795223621292,697.2154933372524,737.1514643091025,777.0874352661942,817.0234062169319,856.9593771483351,896.8953480153398,934.8324845224889,7059.7447393563425,-
